Questions,Checkbox,Corrected_questions,TEXT
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
 64 PROJECTS FOR EVERY DATA SCIENCE PROFESSIONAL,Correct, 64 PROJECTS FOR EVERY DATA SCIENCE PROFESSIONAL,
 ENTREPENEURS WHO KNOW HOWTO CODE,Not Correct,ENTREPRENEURS WHO KNOW HOW TO CODE,
 TOP 1O PEOPLE YOU MUST FOLLOW INTHEFIELD OFAI,Not Correct,TOP 1O PEOPLE YOU MUST FOLLOW IN FIELD OF AI,
 HIGH DEMIND SKILLS RIGHTNOW,Not Correct,HIGH DEMAND SKILLS RIGHT NOW,"Cloud computing.
Artificial intelligence.
Sales leadership.
Analysis.
Translation.
Mobile app development.
People management.
Video production."
 10 WAYS TO BECOME MENTALLY STRONGER,Correct, 10 WAYS TO BECOME MENTALLY STRONGER,"Focus on the moment. ...
Embrace adversity. ...
Exercise your mind. ...
Challenge yourself. ...
Respond positively. ...
Be mindful. ...
Don't be defeated by fear. ...
Be aware of self-talk."
 8 SUCCESS STRATEGIES FOR USING IN2021,Correct, 8 SUCCESS STRATEGIES FOR USING IN2021,
 WEEKEND ROUTINE OF SUCCESSFUL PEOPLE,Correct, WEEKEND ROUTINE OF SUCCESSFUL PEOPLE,"They catch up on sleep. ...
They spend time with their loved ones. ...
They strategize on the week ahead. ...
They make time for what energizes them. ...
They take care of chores. ...
They set aside alone time and reflect."
 SIX STEPS OF GETTIIG RICH,Not Correct,SIX STEPS OF GETTING RICH,"Fix in your mind the exact amount of money you desire. ...
Determine exactly what you intend to give in return for the money you desire. ...
Establish a definite date when you intend to possess the money you desire."
 BESTDECISIONSTO MAKE IN YOUR 2OS,Not Correct,BEST DECISIONS TO MAKE IN YOUR 2OS,"Set a budget. ...
Start an emergency fund. ...
Tackle your debt. ...
Learn new skills. ...
Save for retirement. ...
Don't be afraid to invest. ...
Cut the financial cord."
 MONEY MAKING 6AOBBIES ITRADING,Not Correct,MONEY MAKING HOBBIES TRADING,"Blogging (my favorite hobby that makes me money) Is there a subject you are particularly passionate about? ...
Take Online Surveys. ...
Photography. ...
Writing. ...
Graphic Design. ...
Creating and/or Editing Videos. ...
Carpentry. ...
Sports – Refereeing."
 HOW D0 MOST PEOPLE GET RICH?,Correct, HOW D0 MOST PEOPLE GET RICH?,
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
 64 PROJECTS FOR EVERY DATA SCIENCE PROFESSIONAL,Correct, 64 PROJECTS FOR EVERY DATA SCIENCE PROFESSIONAL,
 ENTREPENEURS WHO KNOW HOWTO CODE,Not Correct,ENTREPRENEURS WHO KNOW HOW TO CODE,
 TOP 1O PEOPLE YOU MUST FOLLOW INTHEFIELD OFAI,Not Correct,TOP 1O PEOPLE YOU MUST FOLLOW IN FIELD OF AI,
 HIGH DEMIND SKILLS RIGHTNOW,Not Correct,HIGH DEMAND SKILLS RIGHT NOW,"Cloud computing.
Artificial intelligence.
Sales leadership.
Analysis.
Translation.
Mobile app development.
People management.
Video production."
 10 WAYS TO BECOME MENTALLY STRONGER,Correct, 10 WAYS TO BECOME MENTALLY STRONGER,"Focus on the moment. ...
Embrace adversity. ...
Exercise your mind. ...
Challenge yourself. ...
Respond positively. ...
Be mindful. ...
Don't be defeated by fear. ...
Be aware of self-talk."
 8 SUCCESS STRATEGIES FOR USING IN2021,Correct, 8 SUCCESS STRATEGIES FOR USING IN2021,
 WEEKEND ROUTINE OF SUCCESSFUL PEOPLE,Correct, WEEKEND ROUTINE OF SUCCESSFUL PEOPLE,"Make time for family and friends. This is especially important for those who don't spend much time with their loved ones during the week.
Exercise. ...
Pursue a passion. ...
Vacation. ...
Disconnect. ...
Volunteer. ...
Avoid chores. ...
Plan."
 SIX STEPS OF GETTIIG RICH,Not Correct,SIX STEPS OF GETTING RICH,"Fix in your mind the exact amount of money you desire. ...
Determine exactly what you intend to give in return for the money you desire. ...
Establish a definite date when you intend to possess the money you desire."
 BESTDECISIONSTO MAKE IN YOUR 2OS,Not Correct,BEST DECISIONS TO MAKE IN YOUR 2OS,"Set a budget. ...
Start an emergency fund. ...
Tackle your debt. ...
Learn new skills. ...
Save for retirement. ...
Don't be afraid to invest. ...
Cut the financial cord."
 MONEY MAKING 6AOBBIES ITRADING,Not Correct,MONEY MAKING HOBBIES TRADING,"Blogging (my favorite hobby that makes me money) Is there a subject you are particularly passionate about? ...
Take Online Surveys. ...
Photography. ...
Writing. ...
Graphic Design. ...
Creating and/or Editing Videos. ...
Carpentry. ...
Sports – Refereeing."
 HOW D0 MOST PEOPLE GET RICH?,Correct, HOW D0 MOST PEOPLE GET RICH?,"Exploit your skill as a self-employed expert and invest in it. ...
Hit $100K, then invest the rest. ...
Be an inventor and consider it as an opportunity to serve. ...
Join a start-up and get stock. ...
Develop property. ...
Build a portfolio of stocks and shares."
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
Questions,Checkbox,Corrected_questions,Answer
 MOST VALUABLE CAMPANIES NOT IN THE S&P 5O0,Not Correct,MOST VALUABLE COMPANIES NOT IN THE S&P 5O0,
 10 WAYS TO BECOME MENTALLY STRONGER,Correct, 10 WAYS TO BECOME MENTALLY STRONGER,"Focus on the moment. ...
Embrace adversity. ...
Exercise your mind. ...
Challenge yourself. ...
Respond positively. ...
Be mindful. ...
Don't be defeated by fear. ...
Be aware of self-talk."
 8 SUCCESS STRATEGIES FOR USING IN2021,Not Correct,8 SUCCESS STRATEGIES FOR USING IN 2021,
 WEEKEND ROUTINE OF SUCCESSFUL PEOPLE,Correct, WEEKEND ROUTINE OF SUCCESSFUL PEOPLE,"Make time for family and friends. This is especially important for those who don't spend much time with their loved ones during the week.
Exercise. ...
Pursue a passion. ...
Vacation. ...
Disconnect. ...
Volunteer. ...
Avoid chores. ...
Plan."
 HOW D0 MOST PEOPLE GET RICH?,Correct, HOW D0 MOST PEOPLE GET RICH?,"Exploit your skill as a self-employed expert and invest in it. ...
Hit $100K, then invest the rest. ...
Be an inventor and consider it as an opportunity to serve. ...
Join a start-up and get stock. ...
Develop property. ...
Build a portfolio of stocks and shares."
